Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
,Gambia,2020-09-20 04:22:56,13.4432,-15.3101,3504,108,1992,1404.0,144.9932634408424,3.0821917808219177
,Georgia,2020-09-20 04:22:56,42.3154,43.3569,3306,19,1481,1806.0,82.87427851623455,0.5747126436781609
,Ghana,2020-09-20 04:22:56,7.9465,-1.0232,45877,297,45081,499.0,147.64290928973742,0.6473832203500665
,Greece,2020-09-20 04:22:56,39.0742,21.8243,14978,331,1347,13300.0,143.70065746552643,2.2099078648684736
,Grenada,2020-09-20 04:22:56,12.1165,-61.679,24,0,24,0.0,21.329730978768037,0.0
,Guatemala,2020-09-20 04:22:56,15.7835,-90.2308,85152,3105,74497,7550.0,475.29614887432814,3.646420518602029
,Guinea,2020-09-20 04:22:56,9.9456,-9.6966,10286,63,9681,542.0,78.32302529424055,0.612482986583706
,Guinea-Bissau,2020-09-20 04:22:56,11.8037,-15.1804,2303,39,1127,1137.0,117.02247664885842,1.6934433347807207
,Guyana,2020-09-20 04:22:56,4.860416000000002,-58.93018000000001,2168,64,1331,773.0,275.6309444046791,2.9520295202952034
,Haiti,2020-09-20 04:22:56,18.9712,-72.2852,8600,221,6363,2016.0,75.42183828803653,2.569767441860465
,Holy See,2020-09-20 04:22:56,41.9029,12.4534,12,0,12,0.0,1483.3127317676144,0.0
,Honduras,2020-09-20 04:22:56,15.2,-86.2419,71143,2166,21810,47167.0,718.2818340715753,3.0445721996542177
,Hungary,2020-09-20 04:22:56,47.1625,19.5033,16920,675,4382,11863.0,175.14893352725315,3.98936170212766
,Iceland,2020-09-20 04:22:56,64.9631,-19.0208,2307,10,2116,181.0,676.0439560439562,0.4334633723450369
,Indonesia,2020-09-20 04:22:56,-0.7893,113.9213,240687,9448,174350,56889.0,87.99495967479899,3.925430122939752
,Iran,2020-09-20 04:22:56,32.427908,53.68804599999999,419043,24118,357632,37293.0,498.9025686476341,5.755495259436383
,Iraq,2020-09-20 04:22:56,33.223191,43.679291,315597,8491,249539,57567.0,784.6279481910907,2.6904564999033576
,Ireland,2020-09-20 04:22:56,53.1424,-7.6921,32538,1792,23364,7382.0,658.957964241536,5.507406724445263
,Israel,2020-09-20 04:22:56,31.046051,34.851612,183602,1226,132449,49927.0,2121.20767494487,0.6677487173342338
,Jamaica,2020-09-20 04:22:56,18.1096,-77.2975,4758,60,1327,3371.0,160.68021968410363,1.261034047919294
,Jordan,2020-09-20 04:22:56,31.24,36.51,4540,30,2672,1838.0,44.49610610067096,0.6607929515418502
,Kazakhstan,2020-09-20 04:22:56,48.0196,66.9237,107262,1671,101877,3714.0,571.250326268605,1.557867651171897
,Kenya,2020-09-20 04:22:56,-0.0236,37.9062,36829,646,23777,12406.0,68.4919278499869,1.7540525129653262
,"Korea, South",2020-09-20 04:22:56,35.90775700000001,127.766922,22975,383,20158,2434.0,44.8124948665556,1.6670293797606093
,Kosovo,2020-09-20 04:22:56,42.602636,20.902977,12683,488,8788,3407.0,700.5765684949894,3.8476701095955215
,Kuwait,2020-09-20 04:22:56,29.31166,47.481766,99049,581,89498,8970.0,2319.342906310011,0.5865783602055549
,Kyrgyzstan,2020-09-20 04:22:56,41.20438,74.766098,45335,1063,41484,2788.0,694.8754259340352,2.34476673651704
,Laos,2020-09-20 04:22:56,19.85627,102.495496,23,0,22,1.0,0.3161270423868636,0.0
,Latvia,2020-09-20 04:22:56,56.8796,24.6032,1515,36,1248,231.0,80.32013538316681,2.376237623762376
,Lebanon,2020-09-20 04:22:56,33.8547,35.8623,28297,286,11440,16571.0,414.5812095392503,1.0107078488885748
,Lesotho,2020-09-20 04:22:56,-29.61,28.2336,1390,33,754,603.0,64.88499018789572,2.3741007194244603
,Liberia,2020-09-20 04:22:56,6.4280550000000005,-9.429499,1335,82,1216,37.0,26.39551715145115,6.142322097378278
,Libya,2020-09-20 04:22:56,26.3351,17.228331,27234,436,14679,12119.0,396.3449641966636,1.6009400014687525
,Liechtenstein,2020-09-20 04:22:56,47.14,9.55,113,1,109,3.0,296.3001809266592,0.8849557522123894
,Lithuania,2020-09-20 04:22:56,55.1694,23.8813,3664,87,2197,1380.0,134.59251784618178,2.3744541484716155
,Luxembourg,2020-09-20 04:22:56,49.8153,6.1296,7718,124,6703,891.0,1232.9546180684245,1.6066338429644986
,MS Zaandam,2020-09-20 04:22:56,,,9,2,0,7.0,,22.222222222222214
,Madagascar,2020-09-20 04:22:56,-18.766947,46.869107,16020,219,14630,1171.0,57.85269223931412,1.367041198501873
,Malawi,2020-09-20 04:22:56,-13.2543,34.3015,5718,179,4030,1509.0,29.890295089559803,3.1304651976215463
,Malaysia,2020-09-20 04:22:56,4.210483999999999,101.975766,10167,130,9315,722.0,31.41259540336127,1.2786466017507625
,Maldives,2020-09-20 04:22:56,3.2028,73.2207,9649,33,8188,1428.0,1785.0601803375132,0.3420043527826717
,Mali,2020-09-20 04:22:56,17.570692,-3.996166000000001,3006,128,2349,529.0,14.843833098429425,4.258150365934797
,Malta,2020-09-20 04:22:56,35.9375,14.3754,2699,19,2017,663.0,611.2710315510068,0.7039644312708411
,Mauritania,2020-09-20 04:22:56,21.0079,-10.9408,7365,161,6927,277.0,158.39867861305987,2.1860149355057708
,Mauritius,2020-09-20 04:22:56,-20.348404,57.552152,366,10,338,18.0,28.77885650437541,2.7322404371584703
,Moldova,2020-09-20 04:22:56,47.4116,28.3699,46336,1201,34236,10899.0,1148.647124428261,2.5919371546961325
,Monaco,2020-09-20 04:22:56,43.7333,7.4167,192,1,152,39.0,489.24676383651,0.5208333333333334
,Mongolia,2020-09-20 04:22:56,46.8625,103.8467,312,0,302,10.0,9.517151004242454,0.0
,Montenegro,2020-09-20 04:22:56,42.708678000000006,19.37439,7898,134,5129,2635.0,1257.5191621209372,1.6966320587490504
,Morocco,2020-09-20 04:22:56,31.7917,-7.0926,99816,1795,79008,19013.0,270.4266892957836,1.7983088883545724
,Mozambique,2020-09-20 04:22:56,-18.665695,35.529562,6537,41,3620,2876.0,20.914762504505216,0.6271990209576258
,Namibia,2020-09-20 04:22:56,-22.9576,18.4904,10292,111,7969,2212.0,405.05077696389816,1.0785075787019045
,Nepal,2020-09-20 04:22:56,28.1667,84.25,62797,401,45267,17129.0,215.5246381140996,0.6385655365702183
,New Zealand,2020-09-20 04:22:56,-40.9006,174.886,1815,25,1719,71.0,37.63816472576087,1.3774104683195592
,Nicaragua,2020-09-20 04:22:56,12.865416,-85.207229,4961,147,2913,1901.0,74.88806038866919,2.963112275750857
,Niger,2020-09-20 04:22:56,17.607789,8.081666,1183,69,1104,10.0,4.887089639386488,5.832628909551986
,Nigeria,2020-09-20 04:22:56,9.082,8.6753,57145,1095,48431,7619.0,27.72150698060727,1.9161781433196248
,North Macedonia,2020-09-20 04:22:56,41.6086,21.7453,16557,689,13792,2076.0,794.7181983123578,4.161381892854986
,Norway,2020-09-20 04:22:56,60.472,8.4689,12858,267,10371,2220.0,237.178122651599,2.076528231451237
,Oman,2020-09-20 04:22:56,21.512583,55.92325500000001,91753,818,84648,6287.0,1796.7454806719586,0.8915239828670453
,Panama,2020-09-20 04:22:56,8.538,-80.7821,105601,2247,80190,23164.0,2447.431704323384,2.127820759273113
,Papua New Guinea,2020-09-20 04:22:56,-6.314993,143.95555,516,6,232,278.0,5.767278896107054,1.162790697674419
,Paraguay,2020-09-20 04:22:56,-23.4425,-58.4438,33015,636,17535,14844.0,462.8792307918789,1.926397092230804
,Philippines,2020-09-20 04:22:56,12.879721,121.774017,283460,4930,209885,68645.0,258.67602971808503,1.7392224652508292
,Poland,2020-09-20 04:22:56,51.9194,19.1451,78330,2282,63861,12187.0,206.9670449965063,2.9133154602323503
,Portugal,2020-09-20 04:22:56,39.3999,-8.2245,68025,1899,45404,20722.0,667.127142125394,2.7916207276736493
,Qatar,2020-09-20 04:22:56,25.3548,51.1839,123146,209,120089,2848.0,4274.329587026997,0.1697172461955727
,Romania,2020-09-20 04:22:56,45.9432,24.9668,111550,4402,89119,18029.0,579.851564237313,3.946212460779919
,Rwanda,2020-09-20 04:22:56,-1.9403,29.8739,4689,26,2910,1753.0,36.20231884769617,0.5544892301130305
,Saint Kitts and Nevis,2020-09-20 04:22:56,17.357822,-62.782998,17,0,17,0.0,31.959693186945405,0.0
,Saint Lucia,2020-09-20 04:22:56,13.9094,-60.9789,27,0,26,1.0,14.70355989522352,0.0
,Saint Vincent and the Grenadines,2020-09-20 04:22:56,12.9843,-61.2872,64,0,64,0.0,57.68520104193895,0.0
,San Marino,2020-09-20 04:22:56,43.9424,12.4578,723,42,669,12.0,2130.355353880606,5.809128630705394
,Sao Tome and Principe,2020-09-20 04:22:56,0.1864,6.6131,908,15,876,17.0,414.30729007442017,1.6519823788546255
,Saudi Arabia,2020-09-20 04:22:56,23.885942,45.079162,329271,4458,309430,15383.0,945.8041532703046,1.353899979044617
,Senegal,2020-09-20 04:22:56,14.4974,-14.4524,14688,302,11153,3233.0,87.72134140551232,2.056100217864924
,Serbia,2020-09-20 04:22:56,44.0165,21.0059,32840,740,0,32100.0,375.8568081699642,2.2533495736906213
,Seychelles,2020-09-20 04:22:56,-4.6796,55.492,141,0,136,5.0,143.38010982306284,0.0
,Sierra Leone,2020-09-20 04:22:56,8.460555000000001,-11.779889,2159,72,1650,437.0,27.065363668102677,3.33487725798981
,Singapore,2020-09-20 04:22:56,1.2833,103.8333,57558,27,57142,389.0,983.8397509342616,0.0469092046283748
,Slovakia,2020-09-20 04:22:56,48.669,19.699,6546,39,3519,2988.0,119.89794937141492,0.5957836846929423
,Slovenia,2020-09-20 04:22:56,46.1512,14.9955,4309,141,2981,1187.0,207.2698866533393,3.2722209329310745
,Somalia,2020-09-20 04:22:56,5.152149,46.199616,3401,98,2812,491.0,21.399063336382643,2.881505439576596
,South Africa,2020-09-20 04:22:56,-30.5595,22.9375,659656,15940,589434,54282.0,1112.2417305120043,2.4164109778429967
,South Sudan,2020-09-20 04:22:56,6.877000000000002,31.307,2642,49,1290,1303.0,23.602501007483745,1.854655563966692
,Sri Lanka,2020-09-20 04:22:56,7.873054,80.77179699999998,3283,13,3070,200.0,15.331628781245255,0.395979287237283
,Sudan,2020-09-20 04:22:56,12.8628,30.2176,13535,836,6759,5940.0,30.86710521901745,6.176579239009974
,Suriname,2020-09-20 04:22:56,3.9193,-56.0278,4709,97,4383,229.0,802.7151511845544,2.059885325971544
,Switzerland,2020-09-20 04:22:56,46.8182,8.2275,49283,2045,40500,6738.0,569.4416553104942,4.149503885721241
,Syria,2020-09-20 04:22:56,34.802075,38.99681500000001,3765,170,932,2663.0,21.51347803685313,4.51527224435591
,Taiwan*,2020-09-20 04:22:56,23.7,121.0,506,7,479,20.0,2.12455296739378,1.383399209486166
,Tajikistan,2020-09-20 04:22:56,38.861,71.2761,9303,73,8066,1164.0,97.53983217235456,0.7846931097495432
,Tanzania,2020-09-20 04:22:56,-6.369028,34.888822,509,21,183,305.0,0.852107987092757,4.12573673870334
,Thailand,2020-09-20 04:22:56,15.870032,100.992541,3506,59,3340,107.0,5.022924219259783,1.6828294352538506
,Timor-Leste,2020-09-20 04:22:56,-8.874217,125.727539,27,0,26,1.0,2.0478716545741107,0.0
